id,stop,name,audio,lat,lon,text,image,radius
1,"0","Welcome to Green Shorewood!","00_StartingPoint.mp3",43.087840,-87.88449,"<p>Hello, and welcome to our <b>Green Stormwater Infrastructure Walking Tour</b> in the Village of Shorewood in Milwaukee County. You should be standing in the <b>Shorewood Public Library atrium</b>. Refer to Image #1 and #2 of the Starting Point image carousel to confirm you are in the correct location. You can <b>swipe through the images</b> on your screen to view them.
<p>The Village of Shorewood is located between the Milwaukee River on the west and Lake Michigan on the east, with the Library sitting at the midpoint between these watery boundaries. Thus, the Shorewood Public Library serves as a vibrant community hub, offering resources for learning, connection, and exploration, and therefore is a perfect place to start our tour. 
<p><br><b>Navigating the app</b>
<p>Now, let’s dive into the purpose of our tour today. Shorewood’s unique location offers many commercial, recreational, and aesthetic advantages, but also presents a risk: <b>flooding</b> from increasingly frequent and severe storms due to changing climates. To manage stormwater, many cities have built large underground sewers and utility systems, known as <b>Gray Stormwater Infrastructure</b>, which rely on concrete and other unnatural materials to move water away quickly.  
<p>In contrast, the stops on this tour highlight the innovative <b>“green”</b>, or environmentally-friendly, practices that Shorewood has implemented. This collection of practices, known as <b>Green Stormwater Infrastructure</b>, utilizes natural solutions to capture and regulate stormwater right where it falls, alleviating reliance on Gray Stormwater Infrastructure. By doing so, Green Stormwater Infrastructure plays a crucial role in contributing to a more resilient and sustainable Shorewood community.
<p>Today, you will be using an interactive map to follow a green route that will navigate you to 10 stops along the tour. Before starting the tour, make sure that
            <ul>•	Your GPS is enabled on both your phone and browser</ul>
            <ul>•	Your browser screen <b>MUST</b> be open throughout the tour to enable automatic audio playback – do not lock your screen or switch apps</ul>
            <ul>•	Your phone is fully charged or you have an external battery pack</ul>
            <ul>•	You are dressed for the season and wearing appropriate footwear!</ul>
            <ul>•	And for the best experience, use headphones!</ul>
            </n><b>Most importantly, always watch your step while walking, especially when crossing streets!</b>
<p><br>Now, let’s walk through how the interactive map works. Image #3 shows a static image of the map. You can also find the map and app instructions under the <b>“Menu”</b> tab throughout the tour. If you already feel confident to navigate on your own, you can skip the following explanation and press <b>“Start Tour”</b>, but please make sure you understand how the map and audio features work before heading out.
<p>Once you click the <b>“Start Tour”</b> button, the interactive map will appear on your screen. If <b>GPS is enabled on both your device and browser</b>, you’ll see a <b>blue circle</b> on the map. That’s you! You can refer to your current location on the map to follow the green route. <b>Pinch to zoom out</b> if you'd like an overview of the entire route. The <b>center button</b> re-centers the map to your current location and the button below it turns on <b>dark mode</b>.
<p><b>Follow the numbered green circles on the route to move in the suggested tour direction</b>. These circles represent the 10 main stops, each featuring a different Green Stormwater Infrastructure practice. At each stop, you'll find an audio narration and an image carousel with photos, diagrams, or maps to help you identify and understand the practice. You can also read the text version of the narration on your screen. Use the buttons below the image carousel to <b>adjust Font Size and switch Color Mode for better readability</b>.
<p>For each green circle, please <b>stop walking and listen to the full audio</b> before continuing to the next stop. And <b>always stop walking when viewing text or images for your safety! </b>
<p>The <b>white circles</b> provide additional context as you walk between green stops and thus you can continue to walk while listening to the white circle audio or even skip them if you prefer. 
<p>When you enter any circle on the map, green or white, <b>the audio will play automatically,</b> and the images and text will open up on your screen. It may take a few seconds to load depending on GPS accuracy and internet speed. <b>To avoid delays, we recommend downloading the audio in advance</b>. You can also use the <b>audio controls</b> at the top of your screen to pause, rewind, or change playback speed. You can always use the <b>“Back to Map”</b> button to return to the map view for navigation. You can tap any green or white circle on the map to manually open that stop’s information and replay its audio anytime. 
<p>If you want to return to this screen, tap <b>“Green Shorewood”</b> at the top or select the <b>first white circle</b> on the map.
<p>The tour should take <b>approximately 2 hours</b> to complete. The route mostly follows paved sidewalks but includes a stairwell and a dirt path along the Milwaukee River. For those who wish to avoid stairs, <b>an alternate accessible route is available</b> near the Oakleaf Trail Bridge on Capitol Drive. This accessible path is mostly paved but includes a 100-foot section of unpaved, slightly sloped trail made of dirt and wood chips. The accessible route is marked with a <b>dashed green line</b> on the map, and I will alert you when you reach the fork so that you can follow your preferred pathway.</p>
<p>Now, click the <b>“Start Tour”</b> button and walk towards the first green circle on the map. If you are facing the library entrance from the atrium, use the door on your left to exit the building. Begin the tour by exploring our first Green Stormwater Infrastructure feature at the northeast corner of the library.</p>",3,14
2,"1","Stop 1: Shorewood Public Library Planter Box","01.0_PlanterBox.mp3",43.087880,-87.883985,"
<p><br>Stop #1 of the tour is at the northeast corner of the Shorewood Public Library near the parking lot entrance from Frederick Avenue. You are looking for an elevated wooden structure that contains various plants. Because of its relatively small size and corner location, it may be easy to miss! To identify our first Green Stormwater Infrastructure practice, look up at the corner of the library building and follow the gutter coming down from the roof. Images #1, #2, and #3 of the Stop #1 carousel show the pathway from the library atrium to Stop #1, although the library grounds might look a little different depending on the season.
<p>The structure you are looking at is called a <b>planter box</b>, and this brand is <b>StormGUARDen</b> spelled “Storm” “G. U. A. R. D.” as in “Guard” and then “e. n.”, providing a bit of play on words.
<p>You might wonder what is so special about a small wooden box? Let me tell you! With a planting area of roughly <b>17 square feet</b>, this StormGUARDen can hold over <b>350 gallons of rainwater</b> during a single rainstorm, which is enough drinking water for an average person for over a year! Quite impressive for such a small feature, right?
<p>Now imagine all that stormwater rushing off the roof, not into this planter, but straight onto the parking lot pavement. Where would the stormwater go?
<p>Did you know that when it rains, urban stormwater often does not soak into the ground? Instead, some of it runs along roofs, driveways, and ultimately into roads, collecting decaying plant debris, lawn chemicals, and pet waste. Gross! This contaminated water then is discharged into nearby water bodies, leading to <b>runoff pollution</b>.   
<p>Planter boxes like StormGUARDen can be installed next to any building with a gutter downspout, including your own home, redirecting stormwater from the roof before it captures any of these harmful pollutants. Planter boxes then allow the stormwater to infiltrate into the ground at a slower speed and at a safe distance from the property’s foundation, preventing runoff pollution into the streets. 
<p>StormGUARDen is a self-watering, durable, and Winter-proof device. The outer wooden box you see is typically made of cedar or treated pine. Image #4 of the Stop #1 carousel provides a diagram of the internal workings of the StormGUARDen planter box in front of you for reference during the following explanation. 
<p>First, runoff water from the roof flows through the downspout into a stone-filled trough. Image #5 in the Stop #1 carousel shows this trough from the backside if vegetation has currently overgrown it. The water then is redirected into the five removable compartments inside that contain specially-engineered soil designed to remove bacteria and pollutants. You can grow a variety of plants in a planter box, hence the “Garden” of StormGUARDen, including the yellow coneflowers shown in Image #6 of the Stop #1 carousel that are native to this region of Wisconsin. The plants further absorb contaminants, creating a self-sustaining ecosystem that prevents runoff pollution. In fact, the StormGUARDen system is so efficient at removing pollution, you even can grow fruits and vegetables in this soil to eat! Yum!
<p>Beneath this soil lies a layer of stone for water storage, giving plants access to water during dry weather. Excess water from the compartment overflows into a reservoir. As the reservoir fills, water is slowly released through a set of small outlets and drains. Just like that, the StormGUARDen self-discharges and is ready to take on water from the next storm!
<p>By installing planter boxes like StormGUARDen, property owners can control their stormwater within a small footprint before it causes problems in the local and regional waterways. Moreover, planter boxes are low-maintenance with minimal construction and upkeep expenses.  
<p>As you stand here, take a moment to appreciate the functionality of this StormGUARDen. It is a small yet vital part of a broader network of practices for Green Stormwater Infrastructure that work together to protect our community and environment. Imagine the positive impact you can make by installing one at home! Where would you place it at your house?
<p>A link for obtaining your own StormGUARDen is included under the “Menu” tab.
<p>Now, let’s head back past the library entrance to Murray Avenue. You can go through the atrium again or take the outside stairs to get to the Murray Avenue sidewalk. There also is an accessible ramp to Murray Avenue to the right of the stairs on the north side of the library property. 
</p>",6,15
3,"0","Go down to the sidewalk","01.1_Walk.mp3",43.087792,-87.885059,"As you go down to the sidewalk, turn left on Murray Avenue and look back towards the Shorewood Public Library. Do you see any similar planter box structures near the library building? Feel free to pause if you want to have a closer look. Depending on the season, you might be able to spot two more StormGUARDen installations. Otherwise, keep walking until you reach the intersection of Murray Avenue and Shorewood Boulevard and turn right to head west along Shorewood Boulevard. As a reminder, you can refer to the interactive map if you ever need help with directions.",2,13
4,"0","Keep walking","01.2_Walk.mp3",43.087407,-87.885395,"<p><br>As you proceed towards Stop #2, let's dive deeper into the concept of Green Stormwater Infrastructure. As introduced at the start of the tour, Green Stormwater Infrastructure refers to a variety of practices designed to sustainably manage stormwater, which is a major source of flooding and runoff pollution in urban areas.  
<p>Traditionally, communities have used Gray Stormwater Infrastructure, which relies heavily on <b>stormwater sewers</b>, or an interconnected network of <b>ditches</b>, <b>drains</b>, and <b>pipes</b> that move stormwater away from urban areas. However, this approach treats stormwater as a waste rather than a resource, missing opportunities for replenishing local water supplies. As urban areas grow, much of these outdated systems struggle to handle large runoff volumes during heavy rain events. These events ultimately can lead to backups, overflows, and even sewer system failures. 
<p>To address these problems, many communities are adopting a range of practices for Green Stormwater Infrastructure. These structures use natural hydrological processes and materials such as plants, soil, and permeable surfaces to capture, absorb, and treat stormwater and melting snow directly at the source…and often at a lower cost to taxpayers!  
<p>Green Stormwater Infrastructure can take on numerous shapes and sizes, and are placed strategically to maximize their impact. As you walk on this tour, you will see examples at different physical scales, from small planter boxes and rain barrels on individual properties, to bioswales, permeable pavers, and urban gardens in neighborhoods, and even large-scale efforts to protect nature corridors and greenways that span across Milwaukee County. Together, these practices form a network of Green Stormwater Infrastructure that contribute to long-term sustainability of water management and community resilience in the face of changing climates and increasing urbanization!   
<p>As you reach the traffic lights and before you cross the intersection of North Oakland Avenue and Shorewood Boulevard, pause a moment to look at the diagram that is part of this white circle narration. This diagram provides a visual reference for the different kinds of practices for Green Stormwater Infrastructure that you will visit on this tour. You can return to this reference diagram under the “Menu” tab throughout the tour to compare and contrast different Green Stormwater Infrastructure practices at each stop.
<p>Once you are ready, cross North Oakland Avenue to reach Stop #2 on the opposite side of the street.</p>
",1,15
5,"2","Stop 2: Parking Lot Bioswale","02.0_Bioswale.mp3",43.087465,-87.887689,"<p>
<br>Stop #2 of the tour is on the northwest corner of the North Oakloand Avenue and Shorewood Boulevard intersection just behind the bus stop. Stop in front of the bus stop bench and look behind the bench. Do you see the Shorewood High School parking lot in front of you? To view our next Green Stormwater Infrastructure practice, enter the parking lot and look back towards the bus stop bench. Near the fence by the sidewalk, you will see a gently sloped ditch with plants growing around a metal grate in the center. Images #1 and #2 of the Stop #2 carousel show the bus stop bench from the intersection crossing and then the grate behind the bench from the parking lot to help you confirm your location.   
<p>This structure is called a <b>bioswale</b>, or specifically in this case, a <b>parking lot bioswale</b>, and is designed to capture and filter stormwater runoff from the surrounding parking lot pavement.  
<p>A <b>“swale”</b> means a small, sunken, marshy depression, with the <b>“bio”</b> adding typically native vegetation that helps manage stormwater runoff and increase infiltration. While this feature may seem modest, every foot of a bioswale can process about <b>3 gallons of stormwater</b> during a storm event, keeping stormwater on the landscape. While storm events are growing with increased frequency and severity due to changing climates, the majority of annual precipitation still comes from small rain events, and the runoff from these often can be entirely absorbed by a bioswale!
<p>Relating back to Stop #1, a parking lot somewhat acts like the roof of your house, except at a much larger scale. During rainfall, concrete parking lots funnel stormwater across the large, paved surface into a small set of sewer drains, carrying with it car fluids like motor oil, heavy metals and glass, garbage, and other <b>runoff pollutants</b> found in parking lots. Double gross! This contaminated water clogs the parking lot drains with debris, flooding the streets, and ultimately is discharged into nearby water bodies, again leading to downstream flooding and runoff pollution.
<p>Luckily, a bioswale acts much like a planter box for your roof, but meets the larger scale of the parking lot! Image #3 of the Stop #2 carousel provides a diagram of the internal workings of the parking lot bioswale in front of you for reference during the following explanation.  
<p>The vegetation in the bioswale filters out pollutants from the runoff, slows down the stormwater’s flow, and allows the water to seep into the specially-engineered soil rather than rush into Gray Stormwater Infrastructure drains. This process not only reduces the burden on the stormwater system, but also improves the quality of water that reaches the groundwater table.  
<p>During the heaviest rains, the stormwater rises above the metal grate inlet and drains through a perforated pipe that reduces the water flow and directs the remaining overflow safely into the stormwater sewer system. Images #4 and #5 in the Stop #2 carousel provide close-up photographs of this grate. Is there any stormwater in the grate right now?
<p>Choosing the right plants is key to the bioswale's performance, and they must be suited to the site's specific light and soil moisture conditions. Plants can be a mix of perennials and grasses, such as the Little Bluestem and Sedges shown in Image #6 and #7 of the Stop #2 carousel. These grasses are native to this region of Wisconsin, and such native vegetation can be arranged within a bioswale to thrive in both sunny and shaded areas as well as typically dry and wet areas. Alternatively, bioswales can be mulched or xeriscaped with rocks and soil only, providing flexibility in design while still incorporating Green Stormwater Infrastructure into urban spaces.
<p>Imagine if every city embraced planter boxes and bioswales in public spaces like shopping malls, schools, and offices. How might our cities look and feel differently? Could you see this happening in your own neighborhood?
<p>Now, let’s head back to the sidewalk on Oakland Avenue. With the parking lot behind you, turn left to face north and walk along Oakland Avenue. Stop #3 is only 200 feet away, so be careful not to miss it!
</p>
",7,18
6,"3","Stop 3: Shorewood High Urban Garden & Urban Farm","03.0_UrbanGardenUrbanFarm.mp3",43.087843,-87.887868,"<p><br>Stop #3 of the tour is on the south side of the Barbara Gensler Theatre for the Dramatic Arts at Shorewood High School. You will need to turn left and walk up a public driveway for the high school, the first driveway you reach on Oakland Avenue from Stop #2. Image #1 of the Stop #3 carousel shows the start of the Shorewood High School driveway.
<p>Local students caretake two distinct practices of Green Stormwater Infrastructure on this section of Shorewood High School. You first will reach an <b>urban garden</b> consisting of native vegetation. The urban garden is marked by a sign that reads “Schoolyard Habitat”. Image #2 and #3 of the Stop #3 carousel shows the Shorewood High urban garden and “Schoolyard Habitat” sign, respectively. Just beyond the urban garden is the Shorewood High School <b>urban farm</b>, but let’s look at the urban garden first.
<p>According to the Green Values Calculator developed by the Center for Neighborhood Technology in Chicago, urban gardens and urban farms can manage <b>1.5 gallons more  stormwater for every square foot</b> of cultivated land compared to lawns. Combined, the Shorewood High School urban garden and urban farm covers <b>2,750 square feet</b>, allowing it to handle around <b>4,125 gallons</b> of stormwater! A link to the Green Values Calculator is available in the “Menu” tab for you to explore this useful tool more after completing the tour.
<p>You already have learned that Green Stormwater Infrastructure as an alternative to Gray Stormwater Infrastructure has great potential to better regulate flooding and runoff pollution by keeping stormwater on the landscape. However, Gray Stormwater Infrastructure also has an acute cost compared to greener options: <b>habitat destruction</b> for native species. Native species struggle to root into paved concrete and other impervious surfaces, often one objective of pavement. However, Gray Infrastructure also creates barriers in the landscape that prevent species such as plants and their pollinators from intermingling, making it difficult for the ecosystem to thrive as a whole.
<p>The urban garden in front of you consists entirely of native vegetation that naturally thrives in this region of Wisconsin's soil, moisture, and extreme weather conditions. Native vegetation has adapted to these local environmental conditions, and therefore is resistant to most pests and diseases. Native vegetation also has deep root systems, which can reach several feet below the ground, improving soil health, enhancing water infiltration, and maintaining a stable hydrological cycle. Native vegetation requires no irrigation or fertilization, which conserves water and prevents lawn pollutants from entering the waterways. Very impressive!
<p>Beyond managing stormwater, patches of native vegetation are essential for a <b>stable ecosystem</b>. For instance, Image #4 in the Stop #3 carousel shows a purple coneflower. Coneflowers like the purple one here and the yellow one from the Stop #1 StormGUARDen are perennial herbs that can grow up to 2 feet tall and bloom during Summer and sometimes in Fall. Importantly, they are very pollinator-friendly flowers. You might even spot a metallic green sweat bee buzzing around them, as shown in Image #4! In this instance, the coneflower and bee hold a mutually-beneficial, symbiotic relationship. Bees are considered a keystone species because they maintain native vegetation, and therefore the other native animals that live in and feed on this vegetation. Thus, practices of Green Stormwater Infrastructure like planter boxes, bioswales, and urban gardens have the added benefit of preserving native habitat and supporting the local ecosystem!
<p>Walk a few steps past the <b>urban garden</b> and you will find the Shorewood High School <b>urban farm</b> just beyond the fence line. 
<p><b>Urban farming</b> in cities takes many forms, from backyard and rooftop gardens to community gardens maintained by a group of people, each with their own plot. The design of urban farms often includes raised beds to maximize water absorption, once again helping to keep stormwater on the landscape. Importantly, urban gardening functionally repurposes this stormwater to provide fresh, locally grown produce. 
<p>Eating locally-produced food has a number of benefits, including reducing the fossil fuel cost of transporting food long distances, preventing food waste and saving money, and ultimately limiting the amount of fertile habitat that needs to be converted into farmland. Thus, urban farming often is promoted as a <b>sustainable food source</b> in addition to a Green Stormwater Infrastructure practice that is both good for people and the environment. In Images #5 and #6 of the Stop #3 carousel, Shorewood High School students are growing a range of vegetables, including corn, kale, tomatoes, and zucchini. These vegetables then can be donated to a local food bank to relieve undernourishment across Milwaukee County. Such a better option for the community and the environment than another parking lot, right!?
<p>As you walk back, reflect on how these small patches of urban gardens and urban farms can have a big impact on our cities. How can you contribute to creating pockets of native vegetation and sustainable food in your own community? Could you plant native plants or vegetables in your yard, on your rooftop, or on your balcony? Every square foot counts! 
<p>When you are ready, walk back down the driveway to the sidewalk and turn left onto Oakland Avenue. Keep walking until you reach the intersection of Oakland Avenue and Capitol Drive.
",6,18
7,"0","Continue walking","03.1_Walk.mp3",43.088054,-87.887533,"<p><br>As you keep walking, let's uncover the fascinating history that has shaped stormwater management in this area. Milwaukee County’s journey toward sustainable stormwater management began over a century ago. 
<p>Milwaukee is a unique city in that it is built on the confluence of not two, but three rivers: the Milwaukee River to the north bordering the Village of Shorewood, the Menomonie River to the west passing near the Milwaukee Brewers baseball stadium, and the Kinnickinnic River to the south. The Port of Milwaukee is built at the mouth of this confluence, and thus access to waterways and the St. Lawrence Seaway through Lake Michigan has forever defined Milwaukee and its history. As with many port cities, Milwaukee’s industrialization during the 19th and into the 20th century led to increased pollution in its waterways, threatening public health and the environment. But as concerns grew, so did the resolve to find lasting solutions.   
<p>In 1913, the Sewerage Commission of Milwaukee was established to create a sewage disposal system. Their pioneering work led to the construction of the Jones Island Sewage Plant in 1925. While a triumph in its time, the Jones Island Sewage Plant led to a network of underwater tunnels leading to the facility, laying the literal foundation for Gray Stormwater Infrastructure in Milwaukee County. Pause a moment to look at the map on your screen showing Jones Island and the underground tunnel system. You can return to this overview map of Milwaukee County water utilities under the “Menu” tab throughout the tour to orient yourself to the larger urban area.
<p>But, challenges persisted. Population growth and industrial expansion after World War II increased demands on wastewater treatment and stormwater management. In response, the Milwaukee Metropolitan Sewerage District was formed, which today has grown so large across Milwaukee County that just 1 inch of rain over the service area produces a staggering 7.1 billion gallons of water. In 1993, the Milwaukee Metropolitan Sewerage District oversaw construction of a 19.4 mile-long Deep Tunnel System buried 300 feet underground. The system siloes stormwater away in a holding tank that otherwise could be used to irrigate the vast areas of urban gardens, urban farms, and other greenspaces throughout Milwaukee County!
<p>Turn left when you reach the intersection of Oakland Avenue and Capitol Drive. Do not cross the street in any direction. Stop #4 is just 50 feet west down Capitol Drive.
",2,14
